id,name_id,full_name,first_name,middle_name,last_name,gender,party_id,party_name,abbrv,office,b ,ward_pr_order,researcher ,note_fb,fb_url,note_ig,instagram_url,note_tw,twitter_url,note_tk,tiktok_url,note_yt,YouTube_url,note_li,LinkedIn_url,note_web,website,note_wiki,wikipedia_url,note_wa,wa_numbers,note_te,telegram,notes
pers_01,carol_meth,CAROL METH,CAROL,,METH,,pty_28,African Christian Democratic Party,ACDP,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_02,wilko_reimar_kunz,WILKO REIMAR KUNZ,WILKO,REIMAR,KUNZ,,pty_28,African Christian Democratic Party,ACDP,District PR Candidate,DC21 - Ugu,2,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_03,mlungisi_justice_shusha,MLUNGISI JUSTICE SHUSHA,MLUNGISI,JUSTICE,SHUSHA,,pty_28,African Christian Democratic Party,ACDP,District PR Candidate,DC21 - Ugu,3,Siphokazi Kumbuza,Auto_search,https://www.facebook.com/mlungisijustice.shusha/?locale=br_FR,,,,,,,,,,,,,,,,,,,"FB- Potential 60% Full 3-name match, Location match (Margate), Direct profile"
pers_04,madeleine_pretorius,MADELEINE PRETORIUS,MADELEINE,,PRETORIUS,,pty_28,African Christian Democratic Party,ACDP,District PR Candidate,DC21 - Ugu,4,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_05,cyprian_fanta_mqadi,CYPRIAN FANTA MQADI,CYPRIAN,FANTA,MQADI,,pty_28,African Christian Democratic Party,ACDP,District PR Candidate,DC21 - Ugu,5,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_06,dewchand_paladh,DEWCHAND PALADH,DEWCHAND,,PALADH,,pty_28,African Christian Democratic Party,ACDP,District PR Candidate,DC21 - Ugu,6,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_07,matthew_poonsamy_pillay,MATTHEW POONSAMY PILLAY,MATTHEW,POONSAMY,PILLAY,,pty_28,African Christian Democratic Party,ACDP,District PR Candidate,DC21 - Ugu,7,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_08,sisanele_ncukana,SISANELE NCUKANA,SISANELE,,NCUKANA,,pty_01,Independent,INDEPENDENT,District PR Candidate,DC21 - Ugu AFRICAN,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_09,isaac_sikhumbuzo_mqadi,ISAAC SIKHUMBUZO MQADI,ISAAC,SIKHUMBUZO,MQADI,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_10,matho_precious_shozi,MATHO PRECIOUS SHOZI,MATHO,PRECIOUS,SHOZI,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,2,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
